 x,y,z,P,u,v,w,V
  0.1613,   0.3871,   0.0000,   0.0438,  0.20285, -0.04478,  0.00000,  0.20774
  0.1613,   0.4194,   0.0000,   0.0458,  0.20855, -0.03218,  0.00000,  0.21101
  0.1613,   0.4516,   0.0000,   0.0471,  0.21242, -0.01937,  0.00000,  0.21330
  0.1613,   0.4839,   0.0000,   0.0478,  0.21440, -0.00647,  0.00000,  0.21450
  0.1613,   0.5161,   0.0000,   0.0478,  0.21440,  0.00647,  0.00000,  0.21450
  0.1613,   0.5484,   0.0000,   0.0471,  0.21242,  0.01937,  0.00000,  0.21330
  0.1613,   0.5806,   0.0000,   0.0458,  0.20855,  0.03218,  0.00000,  0.21101
  0.1613,   0.6129,   0.0000,   0.0438,  0.20285,  0.04478,  0.00000,  0.20774
  0.1613,   0.6452,   0.0000,   0.0411,  0.19538,  0.05709,  0.00000,  0.20355
  0.1613,   0.6774,   0.0000,   0.0380,  0.18619,  0.06897,  0.00000,  0.19855
  0.1613,   0.7097,   0.0000,   0.0343,  0.17531,  0.08032,  0.00000,  0.19283
  0.1613,   0.7419,   0.0000,   0.0304,  0.16280,  0.09098,  0.00000,  0.18650
  0.1613,   0.7742,   0.0000,   0.0262,  0.14873,  0.10082,  0.00000,  0.17968
  0.1613,   0.8065,   0.0000,   0.0219,  0.13315,  0.10968,  0.00000,  0.17251
  0.1613,   0.8387,   0.0000,   0.0177,  0.11611,  0.11741,  0.00000,  0.16513
  0.1613,   0.8710,   0.0000,   0.0137,  0.09760,  0.12386,  0.00000,  0.15769
  0.1613,   0.9032,   0.0000,   0.0101,  0.07744,  0.12890,  0.00000,  0.15037
  0.1613,   0.9355,   0.0000,   0.0070,  0.05522,  0.13244,  0.00000,  0.14349
  0.1613,   0.9677,   0.0000,   0.0046,  0.02998,  0.13445,  0.00000,  0.13775
  0.1613,   1.0000,   0.0000,   0.0035,  0.00000,  0.13502,  0.00000,  0.13502
  0.1935,   0.0000,   0.0000,   0.0054,  0.00000, -0.15583,  0.00000,  0.15583
  0.1935,   0.0323,   0.0000,   0.0065,  0.02848, -0.15500,  0.00000,  0.15760
  0.1935,   0.0645,   0.0000,   0.0090,  0.05209, -0.15241,  0.00000,  0.16107
  0.1935,   0.0968,   0.0000,   0.0122,  0.07271, -0.14810,  0.00000,  0.16498
  0.1935,   0.1290,   0.0000,   0.0158,  0.09135, -0.14214,  0.00000,  0.16896
