 x,y,z,P,u,v,w,V
  0.3974,   0.7742,   0.0000,  -0.6749,  1.16432, -0.08816,  0.00000,  1.16765
  0.3974,   0.8065,   0.0000,  -0.6792,  1.15379, -0.09126,  0.00000,  1.15739
  0.3974,   0.8387,   0.0000,  -0.6843,  1.11672, -0.08828,  0.00000,  1.12020
  0.3974,   0.8710,   0.0000,  -0.6899,  1.03670, -0.07745,  0.00000,  1.03958
  0.3974,   0.9032,   0.0000,  -0.6954,  0.89410, -0.05823,  0.00000,  0.89600
  0.3974,   0.9355,   0.0000,  -0.7007,  0.67159, -0.03315,  0.00000,  0.67241
  0.3974,   0.9677,   0.0000,  -0.7059,  0.36643, -0.00989,  0.00000,  0.36657
  0.3974,   1.0000,   0.0000,  -0.7085,  0.00000,  0.00000,  0.00000,  0.00000
  0.4636,   0.0000,   0.0000,  -0.7290,  0.00000,  0.00000,  0.00000,  0.00000
  0.4636,   0.0323,   0.0000,  -0.7271,  0.33787,  0.00688,  0.00000,  0.33794
  0.4636,   0.0645,   0.0000,  -0.7233,  0.62783,  0.02432,  0.00000,  0.62830
  0.4636,   0.0968,   0.0000,  -0.7193,  0.85156,  0.04507,  0.00000,  0.85275
  0.4636,   0.1290,   0.0000,  -0.7148,  1.00573,  0.06279,  0.00000,  1.00769
  0.4636,   0.1613,   0.0000,  -0.7101,  1.10050,  0.07437,  0.00000,  1.10301
  0.4636,   0.1935,   0.0000,  -0.7053,  1.15107,  0.07937,  0.00000,  1.15381
  0.4636,   0.2258,   0.0000,  -0.7009,  1.17203,  0.07873,  0.00000,  1.17467
  0.4636,   0.2581,   0.0000,  -0.6971,  1.17507,  0.07388,  0.00000,  1.17739
  0.4636,   0.2903,   0.0000,  -0.6939,  1.16863,  0.06625,  0.00000,  1.17051
  0.4636,   0.3226,   0.0000,  -0.6914,  1.15827,  0.05698,  0.00000,  1.15968
  0.4636,   0.3548,   0.0000,  -0.6894,  1.14735,  0.04688,  0.00000,  1.14831
  0.4636,   0.3871,   0.0000,  -0.6879,  1.13767,  0.03645,  0.00000,  1.13826
  0.4636,   0.4194,   0.0000,  -0.6868,  1.13011,  0.02597,  0.00000,  1.13040
  0.4636,   0.4516,   0.0000,  -0.6862,  1.12498,  0.01553,  0.00000,  1.12508
  0.4636,   0.4839,   0.0000,  -0.6858,  1.12239,  0.00517,  0.00000,  1.12241
  0.4636,   0.5161,   0.0000,  -0.6858,  1.12239, -0.00517,  0.00000,  1.12241
  0.4636,   0.5484,   0.0000,  -0.6862,  1.12498, -0.01553,  0.00000,  1.12508
  0.4636,   0.5806,   0.0000,  -0.6868,  1.13011, -0.02597,  0.00000,  1.13040
  0.4636,   0.6129,   0.0000,  -0.6879,  1.13767, -0.03645,  0.00000,  1.13826
  0.4636,   0.6452,   0.0000,  -0.6894,  1.14735, -0.04688,  0.00000,  1.14831
  0.4636,   0.6774,   0.0000,  -0.6914,  1.15827, -0.05698,  0.00000,  1.15968
  0.4636,   0.7097,   0.0000,  -0.6939,  1.16863, -0.06625,  0.00000,  1.17051
  0.4636,   0.7419,   0.0000,  -0.6971,  1.17507, -0.07388,  0.00000,  1.17739
  0.4636,   0.7742,   0.0000,  -0.7009,  1.17203, -0.07873,  0.00000,  1.17467
  0.4636,   0.8065,   0.0000,  -0.7053,  1.15107, -0.07937,  0.00000,  1.15381
  0.4636,   0.8387,   0.0000,  -0.7101,  1.10050, -0.07437,  0.00000,  1.10301
  0.4636,   0.8710,   0.0000,  -0.7148,  1.00573, -0.06279,  0.00000,  1.00769
  0.4636,   0.9032,   0.0000,  -0.7193,  0.85156, -0.04507,  0.00000,  0.85275
  0.4636,   0.9355,   0.0000,  -0.7233,  0.62783, -0.02432,  0.00000,  0.62830
  0.4636,   0.9677,   0.0000,  -0.7271,  0.33787, -0.00688,  0.00000,  0.33794
  0.4636,   1.0000,   0.0000,  -0.7290,  0.00000,  0.00000,  0.00000,  0.00000
  0.5298,   0.0000,   0.0000,  -0.7472,  0.00000,  0.00000,  0.00000,  0.00000
  0.5298,   0.0323,   0.0000,  -0.7457,  0.31651,  0.00506,  0.00000,  0.31655
  0.5298,   0.0645,   0.0000,  -0.7428,  0.59318,  0.01841,  0.00000,  0.59346
  0.5298,   0.0968,   0.0000,  -0.7398,  0.81513,  0.03543,  0.00000,  0.81590
  0.5298,   0.1290,   0.0000,  -0.7363,  0.97655,  0.05119,  0.00000,  0.97789
  0.5298,   0.1613,   0.0000,  -0.7323,  1.08267,  0.06260,  0.00000,  1.08448
  0.5298,   0.1935,   0.0000,  -0.7282,  1.14484,  0.06864,  0.00000,  1.14690
  0.5298,   0.2258,   0.0000,  -0.7242,  1.17558,  0.06966,  0.00000,  1.17764
  0.5298,   0.2581,   0.0000,  -0.7205,  1.18587,  0.06662,  0.00000,  1.18774
  0.5298,   0.2903,   0.0000,  -0.7172,  1.18427,  0.06067,  0.00000,  1.18582
  0.5298,   0.3226,   0.0000,  -0.7145,  1.17679,  0.05282,  0.00000,  1.17797
  0.5298,   0.3548,   0.0000,  -0.7123,  1.16736,  0.04387,  0.00000,  1.16819
  0.5298,   0.3871,   0.0000,  -0.7106,  1.15833,  0.03435,  0.00000,  1.15884
  0.5298,   0.4194,   0.0000,  -0.7093,  1.15094,  0.02458,  0.00000,  1.15120
  0.5298,   0.4516,   0.0000,  -0.7085,  1.14580,  0.01475,  0.00000,  1.14589
  0.5298,   0.4839,   0.0000,  -0.7081,  1.14317,  0.00492,  0.00000,  1.14318
  0.5298,   0.5161,   0.0000,  -0.7081,  1.14317, -0.00492,  0.00000,  1.14318
  0.5298,   0.5484,   0.0000,  -0.7085,  1.14580, -0.01475,  0.00000,  1.14589
  0.5298,   0.5806,   0.0000,  -0.7093,  1.15094, -0.02458,  0.00000,  1.15120
  0.5298,   0.6129,   0.0000,  -0.7106,  1.15833, -0.03435,  0.00000,  1.15884
  0.5298,   0.6452,   0.0000,  -0.7123,  1.16736, -0.04387,  0.00000,  1.16819
  0.5298,   0.6774,   0.0000,  -0.7145,  1.17679, -0.05282,  0.00000,  1.17797
  0.5298,   0.7097,   0.0000,  -0.7172,  1.18427, -0.06067,  0.00000,  1.18582
  0.5298,   0.7419,   0.0000,  -0.7205,  1.18587, -0.06662,  0.00000,  1.18774
  0.5298,   0.7742,   0.0000,  -0.7242,  1.17558, -0.06966,  0.00000,  1.17764
  0.5298,   0.8065,   0.0000,  -0.7282,  1.14484, -0.06864,  0.00000,  1.14690
  0.5298,   0.8387,   0.0000,  -0.7323,  1.08267, -0.06260,  0.00000,  1.08448
  0.5298,   0.8710,   0.0000,  -0.7363,  0.97655, -0.05119,  0.00000,  0.97789
